URL,Chords
https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-180849,Bm7 Dm7 G Bb Gadd9 Bbadd9 A C A7 C7 D6sus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 G Gadd9 D Dsus2 G Gadd9 D Daddb6 D6sus2 A A7 D D G Gadd9 D D Dmaj7 Bm7 G D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 Bm7 G Gadd9 D Dsus2 G Gadd9 D Dsus2 G Gadd9 D Dsus2 A A7 D D G D D Bm7 G D D Bm7 G D Dsus2 Bm7 G D Dsus2 Bm7 G D Dsus2 Bm7 G D Dsus2
https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/iris-chords-54512,Bm Bsus2 G Gmaj7 G D Em G Bm A G D Em G Bm A G D Em G Bm A G D Em G Bm A G Bm A G Bm A G Bm A G Bm A G Bm Bsus2 G Gmaj7 G D Em G Bm A G D Em G Bm A G Bm A G Bm A G Bm A G Bm A G Bm Bm/A D D Bm Bm/A G G Bm Bm/A D D Bm Bm/A G G Bm Bsus2 G G Bm Bsus2 G G Bm Bsus2 G G Bm Bsus2 G F#m G Bm G F#m Bm Bm G F#m Bm Bm Bm Bm/A G G Bm Bm/A G G Bm Bm/A G G Bm Bm/A G G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A G Bm A Bm Bm Bm/A G G Bm Bm/A G G Bm Bm/A G G Bm Bm/A G G
https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006040,A A/G# F#m D A A/G# F#m D A A/G# F#m D A A/G# F#m D E9 F#m D E9 F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A A/G# F#m D A A/G# F#m D E9 F#m D E9 F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D E/B F#m/C# D Bm A/C# D E/D A E/G# F#m D A E/G# F#m D A E F#m D A E/G# F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A
https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords-46190,Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 F C E7 Am F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 F C E7 Am F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7 Am E7 G D F C Dm E7
https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords-730809,C G Am F C F Am F C F Am G F G Am C F G Am F G C G Am F G C C F Am G F G Am C F G Am F G C G Am F G C G Am F G C C G G Am Am F G Am F C G Am F C G C G Am F G D A Bm G A D A Bm G D
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-39144,Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Cadd9 Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 C D Em C D Em C D G G/F# Em7 G A7sus4 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 Em7 G Dsus4 A7sus4 C D Em C D Em C D G G/F# Em7 G A7sus4 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7 Cadd9 Em7 G Em7
https://tabs.ultimate-guitar.com/tab/coldplay/viva-la-vida-chords-675427,C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D Bm Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D Bm Em C Em D D C D G Em C D G Em C D G Em C D G Em C D G Em C D Bm Em C D Bm Em C D Bm Em
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596,Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 C D A7sus4 A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 C D Em C D Em C D G D Em D A7sus4 C Em G Em C Em G Em C Em G Em C Em G Em Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 Em G D A7sus4 C D Em C D Em C D G D Em D A7sus4 C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em C Em G Em
https://tabs.ultimate-guitar.com/tab/ed-sheeran/i-see-fire-chords-1430599,Em Em C D Em Em G D C Em G D Am7 Em G D C Am7 G/B C Em C D Em Em G D C Em G D Am7 Em G D C Am7 G/B C Am7 G/B C Em C D Em Em C D Em Em C D Em Em C D Am7 Em C D Em Em G D C Em G D Am7 Em G D C Am7 G/B C Am7 G/B C Em C D Em Em C D Em Em C D Em Em C D Am7 Am7 Am7 Em G D Am7 Em G D Am7 Em G D Am7 G/B C D Em C D Em Em C D Em Em C D Em Em C D Em Em C D Em Em C D Em Em C D Em Em C D Em
https://tabs.ultimate-guitar.com/tab/paramore/the-only-exception-chords-874862,Fadd#11 G G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 Am Am Am G D Am Am G D Am G D Am G D C G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 G Dm Cmaj7 Fadd#11 C G Fadd#11 C G
https://tabs.ultimate-guitar.com/tab/train/hey-soul-sister-chords-884388,C G Am F C G Am F C G Am F G C G Am F C G Am F G F G C G F G C G F G C G F G C G Am F C G Am F C G Am F G C G Am F C G Am F G F G C G F G C G F G C G F G C C G Am F C G Am F G F G C G F G C G F G C G F G F G C G F G C G Am F G C G Am F G C
https://tabs.ultimate-guitar.com/tab/the-animals/house-of-the-rising-sun-chords-18688,Am C D F Am E Am E Am C D F Am C E E Am C D F Am E Am C D F Am E Am E Am C D F Am C E E Am C D F Am E Am C D F Am E Am E Am C D F Am C E E Am C D F Am E Am C D F Am E Am E Am C D F Am C E Am C D F Am E Am C/E D F Am E Am E Am C D F Am C E E Am C D F Am E Am C D F Am E Am E Am C D F Am C E E Am C D F Am E Am C D F Am E Am E Am C D F Am C E E Am C D F Am E7 Am C D F7 Am E7 Am Dm Am Dm Am Dm Am Dm Am Dm Am
https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-chords-337676,D F#m D F#m D F#m D F#m Bm G A Bm A D F#m D F#m Bm G A Bm A D Bm D Bm A D Bm D Bm D D F#m D F#m Bm G A Bm A D F#m D F#m Bm G A Bm A D Bm D Bm A D Bm D Bm A G A D Bm G A D Bm G A Bm A D F#m D F#m Bm G A Bm G A Bm G A Bm A D Bm D Bm A D Bm D Bm D Bm D Bm D Bm D Bm D D
https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-chords-17427,C G Am Fmaj7 F6 C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C Am G F C C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C Am G F C C G F C/E Dm7 C Am G F C C G F C/E Dm7 C F C/E Dm7 C Bb F/A G F C C G Am F C G F C Am G F C C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C C G Am Am/G Fmaj7 F6 C G F C/E Dm7 C Am G F C C G F C/E Dm7 C Am G F C C G F C/E Dm7 C Am G F C C G F C/E Dm7 C F C/E Dm7 C Bb F/A G F C
https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-6125,F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 D Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 D Esus4 F#m D Esus4 F#m D Esus4 F#m7 Esus4 A Esus4 B7sus4 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 A F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 F#m7 A Esus4 B7sus4 D Esus4 F#m D Esus4 F#m D Esus4 F#m7 Esus4 A Esus4 B7sus4 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7 D F#m7 A F#m7
https://tabs.ultimate-guitar.com/tab/misc-soundtrack/a-star-is-born-shallow-chords-2488086,Em D G C G D Em D G Em D G C G D Em D G C G D Em D G C G D Em D G C G D Em D G Em D G Em D G C G D Em D G C G D Em D G C G D Em D G C G D Am D G D Em Am D G D Em Am D G D Em Am D G D Em Em Bm D A Em Bm D A Am D G D Em Am D G D Em Am D G D Em Am D G D Em Em
